Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.9%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.9%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.9%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.3%us,  0.7%sy,  0.0%ni, 98.8%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
