Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.5%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.5%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.5%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.5%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.5%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.5%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.5%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.5%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.5%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.4%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.4%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.4%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.4%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.4%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.4%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.4%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.4%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.4%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.4%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.4%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.4%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.4%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
Cpu0  :  0.4%us,  1.0%sy,  0.0%ni, 98.4%id,  0.1%wa,  0.0%hi,  0.1%si,  0.0%st
