Cpu0  :  1.2%us,  2.8%sy,  0.1%ni, 95.3%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.2%us,  2.8%sy,  0.1%ni, 95.3%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.2%us,  2.9%sy,  0.1%ni, 95.3%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.2%us,  2.9%sy,  0.1%ni, 95.3%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.2%us,  2.9%sy,  0.1%ni, 95.3%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.2%us,  2.9%sy,  0.1%ni, 95.2%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.2%us,  2.9%sy,  0.1%ni, 95.2%id,  0.4%wa,  0.0%hi,  0.1%si,  0.1%st
Cpu0  :  1.2%us,  2.9%sy,  0.1%ni, 95.2%id,  0.4%wa,  0.0%hi,  0.2%si,  0.1%st
Cpu0  :  1.2%us,  2.9%sy,  0.1%ni, 95.2%id,  0.4%wa,  0.0%hi,  0.2%si,  0.1%st
Cpu0  :  1.2%us,  2.9%sy,  0.1%ni, 95.2%id,  0.4%wa,  0.0%hi,  0.2%si,  0.1%st
Cpu0  :  1.2%us,  2.9%sy,  0.1%ni, 95.1%id,  0.4%wa,  0.0%hi,  0.2%si,  0.1%st
Cpu0  :  1.2%us,  2.9%sy,  0.1%ni, 95.1%id,  0.4%wa,  0.0%hi,  0.2%si,  0.1%st
Cpu0  :  1.2%us,  2.9%sy,  0.1%ni, 95.1%id,  0.4%wa,  0.0%hi,  0.2%si,  0.1%st
Cpu0  :  1.2%us,  3.0%sy,  0.1%ni, 95.1%id,  0.4%wa,  0.0%hi,  0.2%si,  0.1%st
Cpu0  :  1.2%us,  3.0%sy,  0.1%ni, 95.0%id,  0.4%wa,  0.0%hi,  0.2%si,  0.1%st
Cpu0  :  1.2%us,  3.0%sy,  0.1%ni, 95.0%id,  0.4%wa,  0.0%hi,  0.2%si,  0.1%st
Cpu0  :  1.2%us,  3.0%sy,  0.1%ni, 95.0%id,  0.4%wa,  0.0%hi,  0.3%si,  0.1%st
Cpu0  :  1.2%us,  3.0%sy,  0.1%ni, 95.0%id,  0.4%wa,  0.0%hi,  0.3%si,  0.1%st
Cpu0  :  1.2%us,  3.0%sy,  0.1%ni, 95.0%id,  0.4%wa,  0.0%hi,  0.3%si,  0.1%st
Cpu0  :  1.2%us,  3.0%sy,  0.1%ni, 94.9%id,  0.4%wa,  0.0%hi,  0.3%si,  0.1%st
Cpu0  :  1.2%us,  3.0%sy,  0.1%ni, 94.9%id,  0.4%wa,  0.0%hi,  0.3%si,  0.1%st
Cpu0  :  1.2%us,  3.0%sy,  0.1%ni, 94.9%id,  0.4%wa,  0.0%hi,  0.3%si,  0.1%st
Cpu0  :  1.2%us,  3.0%sy,  0.1%ni, 94.9%id,  0.4%wa,  0.0%hi,  0.3%si,  0.1%st
Cpu0  :  1.2%us,  3.0%sy,  0.1%ni, 94.9%id,  0.4%wa,  0.0%hi,  0.3%si,  0.1%st
