Cpu0  :  0.8%us,  1.8%sy,  0.1%ni, 96.8%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  1.9%sy,  0.1%ni, 96.8%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  1.9%sy,  0.1%ni, 96.8%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  1.9%sy,  0.1%ni, 96.8%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  1.9%sy,  0.1%ni, 96.7%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  1.9%sy,  0.1%ni, 96.7%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  1.9%sy,  0.1%ni, 96.7%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  1.9%sy,  0.1%ni, 96.7%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.0%sy,  0.1%ni, 96.7%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.0%sy,  0.1%ni, 96.6%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.0%sy,  0.1%ni, 96.6%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.0%sy,  0.1%ni, 96.6%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.0%sy,  0.1%ni, 96.6%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.0%sy,  0.1%ni, 96.6%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.0%sy,  0.1%ni, 96.6%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.1%sy,  0.1%ni, 96.5%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.1%sy,  0.1%ni, 96.5%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.1%sy,  0.1%ni, 96.5%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.1%sy,  0.1%ni, 96.5%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.1%sy,  0.1%ni, 96.5%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.1%sy,  0.1%ni, 96.5%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.1%sy,  0.1%ni, 96.5%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.8%us,  2.1%sy,  0.1%ni, 96.5%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
