Cpu0  :  0.5%us,  0.9%sy,  0.1%ni, 98.1%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  0.9%sy,  0.1%ni, 98.1%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  0.9%sy,  0.1%ni, 98.1%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  0.9%sy,  0.1%ni, 98.0%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  0.9%sy,  0.1%ni, 98.0%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  0.9%sy,  0.1%ni, 98.0%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.0%sy,  0.1%ni, 98.0%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.0%sy,  0.1%ni, 98.0%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.0%sy,  0.1%ni, 98.0%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.0%sy,  0.1%ni, 98.0%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.0%sy,  0.1%ni, 97.9%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.0%sy,  0.1%ni, 97.9%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.0%sy,  0.1%ni, 97.9%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.0%sy,  0.1%ni, 97.9%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.1%sy,  0.1%ni, 97.9%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.1%sy,  0.1%ni, 97.9%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.1%sy,  0.1%ni, 97.8%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.1%sy,  0.1%ni, 97.8%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.1%sy,  0.1%ni, 97.8%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.1%sy,  0.1%ni, 97.8%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.1%sy,  0.1%ni, 97.8%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.1%sy,  0.1%ni, 97.8%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.5%us,  1.1%sy,  0.1%ni, 97.8%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
