Cpu0  :  0.6%us,  1.2%sy,  0.1%ni, 97.7%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.2%sy,  0.1%ni, 97.7%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.2%sy,  0.1%ni, 97.7%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.2%sy,  0.1%ni, 97.6%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.2%sy,  0.1%ni, 97.6%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.3%sy,  0.1%ni, 97.6%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.3%sy,  0.1%ni, 97.6%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.3%sy,  0.1%ni, 97.6%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.3%sy,  0.1%ni, 97.6%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.3%sy,  0.1%ni, 97.5%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.3%sy,  0.1%ni, 97.5%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.3%sy,  0.1%ni, 97.5%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.3%sy,  0.1%ni, 97.5%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.4%sy,  0.1%ni, 97.5%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.4%sy,  0.1%ni, 97.5%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.4%sy,  0.1%ni, 97.4%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.4%sy,  0.1%ni, 97.4%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.4%sy,  0.1%ni, 97.4%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.4%sy,  0.1%ni, 97.4%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.4%sy,  0.1%ni, 97.4%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.5%sy,  0.1%ni, 97.4%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.5%sy,  0.1%ni, 97.4%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
Cpu0  :  0.6%us,  1.5%sy,  0.1%ni, 97.4%id,  0.4%wa,  0.0%hi,  0.0%si,  0.1%st
